version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Example: Chris Green, chris@contoso.com, myPassword1234, No,,,,,,,,,,,,,
u01,u01@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u02,u02@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u03,u03@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u04,u04@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u05,u05@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u06,u06@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u07,u07@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u08,u08@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u09,u09@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u10,u10@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u11,u11@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u12,u12@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u13,u13@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u14,u14@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u15,u15@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u16,u16@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u17,u17@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u18,u18@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u19,u19@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u20,u20@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u21,u21@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u22,u22@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
u23,u23@atingupta2005gmailcom.onmicrosoft.com,Azure@cloud789, No,,,,,,,,,,,,,
